Rho,Description,Direction,RhoAbs,GeneCount,Tag,color
0.24804295701853324,positive regulation of endothelial cell proliferation,Positive,0.24804295701853324,158,biological regulation,#949b9b
0.24966446618866062,neuron migration,Positive,0.24966446618866062,89,developmental process,#7FB3D5
0.24993561109447543,muscle contraction,Positive,0.24993561109447543,140,multicellular organismal process,#3c4444
0.25016418141776636,sodium ion transport,Positive,0.25016418141776636,79,localization,#8c7e78
0.2503745082656289,kidney development,Positive,0.2503745082656289,103,developmental process,#7FB3D5
0.2515748674848351,endochondral ossification,Positive,0.2515748674848351,19,developmental process,#7FB3D5
0.2534625593785913,DNA replication,Positive,0.2534625593785913,165,metabolic process,#BC8B56
0.2547656661052095,ossification,Positive,0.2547656661052095,160,multicellular organismal process,#3c4444
0.2557208863308675,protein dephosphorylation,Positive,0.2557208863308675,121,metabolic process,#BC8B56
0.2671502692358279,cytoskeleton organization,Positive,0.2671502692358279,102,cellular process,#6D936E
0.2700484844479737,protein polyubiquitination,Positive,0.2700484844479737,27,metabolic process,#BC8B56
0.2712791110947716,ion transport,Positive,0.2712791110947716,77,localization,#8c7e78
0.27174069587789185,transcription by RNA polymerase II,Positive,0.27174069587789185,118,metabolic process,#BC8B56
0.2855754073165943,autophagy,Positive,0.2855754073165943,110,metabolic process,#BC8B56
0.30104820288278605,chromatin organization,Positive,0.30104820288278605,191,cellular process,#6D936E
0.30473114776277904,response to hypoxia,Positive,0.30473114776277904,176,response to stimulus,#F6E758
0.3160494493929683,skeletal system development,Positive,0.3160494493929683,109,developmental process,#7FB3D5
0.340370274069222,in utero embryonic development,Positive,0.340370274069222,79,developmental process,#7FB3D5
0.3410994285249145,unsaturated fatty acid biosynthetic process,Positive,0.3410994285249145,135,metabolic process,#BC8B56
0.36040153761732874,osteoblast differentiation,Positive,0.36040153761732874,198,developmental process,#7FB3D5
